term,all_text,labels,valid_until,country_codes,countries,node_id,sourceID,address,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note,filename,inactivation_date,struck_off_date,all_text_low
dieter scholz,NA_The Offshore Leaks data is current through 2010_IDN_Indonesia_46324_Offshore Leaks_NA_Christian Dieter Scholz_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,IDN,Indonesia,46324,Offshore Leaks,,Christian Dieter Scholz,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.officer.csv,,,na_the offshore leaks data is current through 2010_idn_indonesia_46324_offshore leaks_na_christian dieter scholz_na_na_na_na_na_na_na_na_na_na
dieter scholz,NA_Malta corporate registry data is current through 2016_AUT;DEU_Austria;Germany_56065836_Paradise Papers - Malta corporate registry_NA_DIETER SCHOLZ_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Malta corporate registry data is current through 2016,AUT;DEU,Austria;Germany,56065836,Paradise Papers - Malta corporate registry,,DIETER SCHOLZ,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.officer.csv,,,na_malta corporate registry data is current through 2016_aut;deu_austria;germany_56065836_paradise papers - malta corporate registry_na_dieter scholz_na_na_na_na_na_na_na_na_na_na
lerchenberg 1,NA_The Panama Papers  data is current through 2015_DEU_Germany_14048306_Panama Papers_Lerchenberg 1; 97246; Eibelstadt; Germany._NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers  data is current through 2015,DEU,Germany,14048306,Panama Papers,Lerchenberg 1; 97246; Eibelstadt; Germany.,,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.address.csv,,,na_the panama papers  data is current through 2015_deu_germany_14048306_panama papers_lerchenberg 1; 97246; eibelstadt; germany._na_na_na_na_na_na_na_na_na_na_na
97246,"[""Entity""]_The Bahamas Leaks data is current through early 2016._NA_NA_20097246_Bahamas Leaks_NA_QUE FOUR LTD._Bahamas_NA_BAH_NA_12-OCT-1999_97246B_NA_NA_NA_NA","[""Entity""]",The Bahamas Leaks data is current through early 2016.,,,20097246,Bahamas Leaks,,QUE FOUR LTD.,Bahamas,,BAH,,12-Oct-99,97246B,,,,,offshoreleaks-data-packages/raw-data/csv_bahamas_leaks.2017-12-19/bahamas_leaks.nodes.entity.csv,,,"[""entity""]_the bahamas leaks data is current through early 2016._na_na_20097246_bahamas leaks_na_que four ltd._bahamas_na_bah_na_12-oct-1999_97246b_na_na_na_na"
97246,NA_The Offshore Leaks data is current through 2010_ARE;VGB_United Arab Emirates;British Virgin Islands_197246_Offshore Leaks_NA_GREENELM LIMITED_Undetermined_Commonwealth Trust Limited_XXX_NA_25-FEB-2008_1466276_NA_Dead_Business Company Limited by Shares_NA,,The Offshore Leaks data is current through 2010,ARE;VGB,United Arab Emirates;British Virgin Islands,197246,Offshore Leaks,,GREENELM LIMITED,Undetermined,Commonwealth Trust Limited,XXX,,25-Feb-08,1466276,,Dead,Business Company Limited by Shares,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.entity.csv,,,na_the offshore leaks data is current through 2010_are;vgb_united arab emirates;british virgin islands_197246_offshore leaks_na_greenelm limited_undetermined_commonwealth trust limited_xxx_na_25-feb-2008_1466276_na_dead_business company limited by shares_na
97246,NA_The Offshore Leaks data is current through 2010_HKG_Hong Kong_297246_Offshore Leaks_NA_W. O. Lo & Co._NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,HKG,Hong Kong,297246,Offshore Leaks,,W. O. Lo & Co.,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.intermediary.csv,,,na_the offshore leaks data is current through 2010_hkg_hong kong_297246_offshore leaks_na_w. o. lo & co._na_na_na_na_na_na_na_na_na_na
97246,NA_The Offshore Leaks data is current through 2010_CHN_China_97246_Offshore Leaks_NA_MA BAO XUAN ???_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Offshore Leaks data is current through 2010,CHN,China,97246,Offshore Leaks,,MA BAO XUAN ???,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_offshore_leaks.2018-02-14/offshore_leaks.nodes.officer.csv,,,na_the offshore leaks data is current through 2010_chn_china_97246_offshore leaks_na_ma bao xuan ???_na_na_na_na_na_na_na_na_na_na
97246,NA_The Panama Papers  data is current through 2015_DEU_Germany_14048306_Panama Papers_Lerchenberg 1; 97246; Eibelstadt; Germany._NA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,The Panama Papers  data is current through 2015,DEU,Germany,14048306,Panama Papers,Lerchenberg 1; 97246; Eibelstadt; Germany.,,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.address.csv,,,na_the panama papers  data is current through 2015_deu_germany_14048306_panama papers_lerchenberg 1; 97246; eibelstadt; germany._na_na_na_na_na_na_na_na_na_na_na
97246,NA_The Panama Papers data is current through 2015_CHE_Switzerland_10097246_Panama Papers_NA_FRONT INVESTMENTS GROUP S.A._British Virgin Islands_Mossack Fonseca_BVI_NA_02-APR-2003_540293_NA_Defaulted_NA_NA,,The Panama Papers data is current through 2015,CHE,Switzerland,10097246,Panama Papers,,FRONT INVESTMENTS GROUP S.A.,British Virgin Islands,Mossack Fonseca,BVI,,2-Apr-03,540293,,Defaulted,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,17-Jan-06,31-Oct-06,na_the panama papers data is current through 2015_che_switzerland_10097246_panama papers_na_front investments group s.a._british virgin islands_mossack fonseca_bvi_na_02-apr-2003_540293_na_defaulted_na_na
97246,NA_The Panama Papers data is current through 2015_HKG_Hong Kong_10197246_Panama Papers_NA_SUNNY JADE INVESTMENT LTD._British Virgin Islands_Mossack Fonseca_BVI_NA_02-SEP-1997_247189_NA_Dissolved_NA_NA,,The Panama Papers data is current through 2015,HKG,Hong Kong,10197246,Panama Papers,,SUNNY JADE INVESTMENT LTD.,British Virgin Islands,Mossack Fonseca,BVI,,2-Sep-97,247189,,Dissolved,,,offshoreleaks-data-packages/raw-data/csv_panama_papers.2018-02-14/panama_papers.nodes.entity.csv,11-Jan-05,30-Apr-05,na_the panama papers data is current through 2015_hkg_hong kong_10197246_panama papers_na_sunny jade investment ltd._british virgin islands_mossack fonseca_bvi_na_02-sep-1997_247189_na_dissolved_na_na
